english,japanese
ga,ガ
gi,ギ
gu,グ
ge,ゲ
go,ゴ
za,ザ
ji,ジ
zu,ズ
ze,ゼ
zo,ゾ
da,ダ
ji,ヂ
zu,ズ
de,デ
do,ド
ba,バ
bi,ビ
bu,ブ
be,ベ
bo,ボ
pa,パ
pi,ピ
pu,プ
pe,ペ
po,ポ
kya,キャ
kyu,キュ
kyo,キョ
sha,シャ
shu,シュ
she,シェ
sho,ショ
cha,チャ
chu,チュ
che,チェ
cho,チョ
nya,ニャ
nyu,ニュ
nyo,ニョ
hya,ヒャ
hyu,ヒュ
hyo,ヒョ
mya,ミャ
myu,ミュ
myo,ミョ
rya,リャ
ryu,リュ
ryo,リョ
gya,ギャ
gyu,ギュ
gyo,ギョ
ja,ジャ
ju,ジュ
je,ジェ
jo,ジョ
bya,ビャ
byu,ビュ
byo,ビョ
pya,ピャ
pyu,ピュ
pyo,ピョ
wi,ウィ
we,ウェ
wo,ウォ
kwa,クァ
kwi,クィ
kwe,クェ
kwo,クォ
tsa,ツァ
tsi,ツィ
tse,ツェ
tso,ツォ
ti,ティ
tyu,チュ
fa,ファ
fi,フィ
fyu,フュ
fe,フェ
fo,フォ
di,ヂィ
dyu,ヂュ
va,ヴァ
vi,ヴィ
vu,ヴ
ve,ヴェ
vo,ヴォ
